# shape width height thickness Msat hc b c beta gamma
ellipse 220.0 80.0 20.0 860000.0 0.151672 1.0 1.1 2.200000000000001 3.300000000000002
ellipse 220.0 110.0 20.0 860000.0 0.085972 1.0 1.5000000000000002 1.7000000000000006 6.700000000000005
ellipse 470.0 170.0 20.0 860000.0 0.070423 1.0 1.3000000000000005 2.300000000000001 2.700000000000001
stadium 220.0 80.0 5.0 860000.0 0.035056 1.0 4.5 1.8000000000000007 9.200000000000006
stadium 330.0 80.0 5.0 860000.0 0.037135 1.0 3.5000000000000004 2.000000000000001 5.000000000000004
stadium 440.0 80.0 5.0 860000.0 0.037531 1.0 3.6 2.100000000000001 4.700000000000003
stadium 220.0 80.0 10.0 860000.0 0.052130665981701 1.0 4.3 1.5000000000000004 9.800000000000008
stadium 330.0 80.0 10.0 860000.0 0.0549700199999997 1.0 3.3000000000000003 2.100000000000001 3.6000000000000023
stadium 440.0 80.0 10.0 860000.0 0.0553500019999998 1.0 3.7 2.100000000000001 4.000000000000003
stadium 330.0 120.0 10.0 860000.0 0.0329299900000002 1.0 4.2 2.000000000000001 4.000000000000003
stadium 440.0 120.0 10.0 860000.0 0.0338799999999999 1.0 5.0 2.200000000000001 3.9000000000000026
stadium 550.0 120.0 10.0 860000.0 0.0342599940000001 1.0 5.4 2.200000000000001 4.200000000000003
stadium 660.0 120.0 10.0 860000.0 0.0342599940000001 1.0 5.3 2.200000000000001 4.000000000000003
stadium 220.0 80.0 20.0 860000.0 0.069985 1.0 2.5000000000000004 1.9000000000000008 2.100000000000001
stadium 330.0 80.0 20.0 860000.0 0.07502199 1.0 2.8000000000000003 2.400000000000001 1.9000000000000008
stadium 440.0 80.0 20.0 860000.0 0.076117 1.0 3.4000000000000004 2.200000000000001 2.6000000000000014
stadium 220.0 80.0 25.0 860000.0 0.07569999 1.0 2.6 2.000000000000001 2.0
stadium 330.0 80.0 25.0 860000.0 0.080680005 1.0 3.1 2.300000000000001 2.0
stadium 440.0 80.0 25.0 860000.0 0.08242298 1.0 3.4000000000000004 2.300000000000001 2.2
